상장 시기(상장월),최근 공모주 동향(최근 3개월 내의 종속변수 1인 갯수),최근 3개월 공모주 수,"최근 ""따"" 비율",희망공모가_하한,희망공모가_상한,공모가,밴드수익률(공모가/공모가_상한),기관경쟁률,청약경쟁률,의무보유확약,대표주간사,IPO 주간사 순위,총 공모주식 수,구주매출(비율),매출액(백만원),순이익(백만원),자본금(백만원),전문투자자(비율),우리사주조합(비율),일반청약자(비율),공모후 상장주식수(주식수),유통가능주식합계(비율),ROE,종속변수
3,5,13,0.36433534763201,8883,10254,10996,1.04566465236799,1365.8086774651133,24565.56757962906,0.2025350919733226,6,5,2000000,0.0,34174,1396,4706,0.6786055514970069,0.08566465236799004,0.2357297961350031,10885838,0.3868544279167123,29.007094283217995,1
4,7,14,0.5748552654809648,8577,9703,9873,1.0509703934923402,1652.7927023772154,1878.0000632051479,0.2112402313657865,6,10,2882516,0.0,21322,3206,7064,0.6990296065076597,0.05097039349234031,0.25,20083486,0.21147773041996512,41.33034193743166,1
6,3,12,0.24438479629756685,5271,5983,5983,1.0,995.2660082986604,1363.2084016378526,0.058954334203037764,5,2,2553730,0.0,24356,2909,5241,0.7027993389694593,0.08320396618324344,0.21399669484729716,11072006,0.4862121438962599,53.78618334387298,1
3,7,17,0.41541616632041667,10909,13932,16796,1.2005217089392708,1826.2734144065575,3673.60607018296,0.5318472962151367,3,1,1739989,0.09949696224510482,13413,1114,5101,0.75,0.0,0.25,10180904,0.21879540116480495,21.631881054089874,1
5,4,9,0.34959917165560794,7244,8654,9211,1.0626210308330424,1160.6766939751328,901.4768564201714,0.17620804187696437,2,3,1373789,0.06049339162661663,44563,2272,4466,0.6,0.2,0.2,8935327,0.35171861251912434,50.9484117566229,1
4,3,12,0.23673875684931595,12492,16157,17940,1.1470631626712378,1255.0693912379988,1370.120503769399,0.39155661024544136,3,6,917609,0.11087081050228015,9359,252,1733,0.6321741621004561,0.14010813527397395,0.22771770262557003,5124457,0.4258170584589101,198.99795595159938,1
7,2,10,0.2797805313556332,12164,14164,15388,1.0917581119351527,1465.0476035996724,4507.725046735097,0.29570564772289754,8,6,1116483,0.0,20182,-4218,4174,0.6531870209037556,0.11622694178452693,0.23058603731171762,8350141,0.34343520949430745,-97.1970684888996,1
8,2,13,0.16196000624277898,15047,18196,21325,1.175803999375722,853.0429986385801,962.6926036088203,0.4255604030589617,8,7,1689347,0.1934472991928176,19196,3835,2858,0.7616079987514442,0.038392001248555796,0.2,5721298,0.4399782508874066,134.4044256594459,1
6,4,17,0.25238654947505784,8277,9801,10752,1.0975226901049886,1662.0778526329202,2507.8421811167923,0.17702877554882257,6,5,1886705,0.0,36545,2640,4172,0.6975226901049884,0.05247730989501158,0.25,8346785,0.2871885731784803,63.324682652301426,1
10,4,28,0.17695562858420186,21352,26492,20491,0.8008668857526056,556.6710819759653,526.771367535833,0.031752762935692534,3,7,477635,0.11864569379446548,14078,2890,2048,0.75,0.032201366067436926,0.2177986339325631,4096690,0.3927415725241066,141.08284008145336,1
